datagouvid,code_insee
534fff65a3a7292c64a77d75,12030
534fff65a3a7292c64a77d76,40056
534fff66a3a7292c64a77d79,33366
534fff6ba3a7292c64a77da2,77131
534fff85a3a7292c64a77ea9,94058
534fff86a3a7292c64a77eab,93045
534fff88a3a7292c64a77eb2,91345
534fff88a3a7292c64a77eb5,31044
534fff88a3a7292c64a77eb6,31079
534fff89a3a7292c64a77ecc,31541
534fff8aa3a7292c64a77ecd,31555
534fffada3a7292c64a780f9,94068
534fffaea3a7292c64a780fb,02691
534fffaea3a7292c64a780fe,24520
534fffb6a3a7292c64a78141,04145
534fffb7a3a7292c64a78142,13001
534fffb7a3a7292c64a78145,92040
534fffb8a3a7292c64a78149,04070
534fffb9a3a7292c64a78159,44109
534fffb9a3a7292c64a7815d,35238
534fffbaa3a7292c64a78162,93077
53698e03a3a729239d20336c,13047
53806fe2a3a7297e4d35d6c6,27375
539a5b76a3a7293bc272836c,25056
53ae7fc3a3a729709f56d4f4,2A163
53ba4599a3a729219b7beaca,35288
53d04424a3a72970fff91f08,06083
5420b971a3a7297b491991e0,04145
5437e8c288ee387cb68f5e87,92022
54884a24c751df7226a3fc16,92075
548b19c6c751df1e6e4120e7,92077
549971c8c751df352b04805a,92072
54997937c751df3da604805b,14541
54a9ba88c751df788104805a,50502
54acf7fcc751df4851de6536,87085
54ca2b22c751df5273467389,94052
54d89442c751df1245467389,92048
54d8f2a4c751df1df7467389,92012
55094e4cc751df601a882846,92047
55279335c751df7b78aec475,94028
552d6a09c751df1ed737dddb,98725
55ffcb6d88ee382075ccb97d,33096
5662c125c751df42e605bd61,01252
566594f388ee38738640355c,06004
56b89c46c751df22549f9dea,55029
56bac12ec751df6c539f9dea,98736
56d5a6d4c751df360dabb90c,37261
5733038988ee38472ed1b934,38185
574da38588ee384f12d1a13b,74081
57835411c751df7f2ef3855e,14366
57ad996ac751df5e2c97bae5,07088
57c8385bc751df0ea997bae5,91377
57ea3e8b88ee3877235ff490,31399
57ed2568c751df0fdf79df72,78172
57ff946788ee384fa45ff490,12202
5821930b88ee386862c65bb3,17300
583d8eda88ee383fd7c65bb3,55545
5846e3d688ee380fc5c65bb3,77079
5846e4ae88ee3811d6c65bb3,77079
584ed32c88ee38733fc65bb3,22187
