datagouvid,item,itemLabel
5ce267dd634f41089fa93dbf,http://www.wikidata.org/entity/Q64221203,ALTYS Technologies
5bf276478b4c417aeaf5f29d,http://www.wikidata.org/entity/Q2819300,ANTIC Pays basque
5c4998388b4c41682d849a80,http://www.wikidata.org/entity/Q64575581,ASTROBUS
5889ea7a88ee385a5e9b81a4,http://www.wikidata.org/entity/Q65552973,ATMO Grand Est
54c107f4c751df5a015fa5a2,http://www.wikidata.org/entity/Q64915715,AUCHAN France
5bec29278b4c412a07c7ee5f,http://www.wikidata.org/entity/Q6625,Agen
590c90d2c751df79217be16a,http://www.wikidata.org/entity/Q65223977,Agence Départementale d'Aménagement et d'Urbanisme du Haut-Rhin
5b1138d9c751df2618dc4662,http://www.wikidata.org/entity/Q56397988,Agence ORE
5c94a888634f415e8c85de26,http://www.wikidata.org/entity/Q64482752,Agence Publique de Gestion Locale
534fff52a3a7292c64a77cd0,http://www.wikidata.org/entity/Q64482175,Agence Régionale du Livre PACA
5c07bfb98b4c411cce9b2460,http://www.wikidata.org/entity/Q64678971,Agence Technique Départementale de la Charente
5bf432fd8b4c414d27dc93ed,http://www.wikidata.org/entity/Q64684675,Agence Technique Départementale de la Dordogne
5b2b596888ee38584917e69c,http://www.wikidata.org/entity/Q64876893,Agence d'Urbanisme de Développement et Prospective de la Région de Reims
580faef888ee38771813e4c8,http://www.wikidata.org/entity/Q65038377,Agence d'Urbanisme et de Développement de la Guyane
5cded29b634f410dde982a99,http://www.wikidata.org/entity/Q63985097,Agence d'urbanisme de l'agglomération marseillaise
5a8eba4188ee38632da02dae,http://www.wikidata.org/entity/Q15974674,Agence de développement et d'urbanisme de l'agglomération strasbourgeoise
5b9138b6634f4168d175aa73,http://www.wikidata.org/entity/Q24938811,Agence de l'eau Artois-Picardie
55195b45c751df66ab057c91,http://www.wikidata.org/entity/Q48756806,Agence de l'eau Loire-Bretagne
5b18de5cc751df6f80f25b51,http://www.wikidata.org/entity/Q28495060,Agence de l'eau Rhin-Meuse
534fff4ea3a7292c64a77cad,http://www.wikidata.org/entity/Q64626734,Agence de l'eau Rhône-Méditerranée et Corse
534fff4ca3a7292c64a77c95,http://www.wikidata.org/entity/Q2826599,Agence de l'environnement et de la maîtrise de l'énergie
5cbf2de7634f4113e9df9481,http://www.wikidata.org/entity/Q2826602,Agence de mutualisation des universités et des établissements
534fff4ea3a7292c64a77cae,http://www.wikidata.org/entity/Q2826621,Agence de services et de paiement
534fff4fa3a7292c64a77cb9,http://www.wikidata.org/entity/Q2826626,Agence des espaces verts de la région d'Île-de-France
55ad1ccb88ee3868d5d98334,http://www.wikidata.org/entity/Q21007902,Agence du numérique
5492ee28c751df24df04805b,http://www.wikidata.org/entity/Q2826643,Agence française de développement
534fff4da3a7292c64a77c9f,http://www.wikidata.org/entity/Q2826646,Agence française pour le développement et la promotion de l'agriculture biologique
534fff4fa3a7292c64a77cba,http://www.wikidata.org/entity/Q16303551,Agence nationale d'appui à la performance des établissements de santé et médicaux sociaux
5aaa439dc751df5dd457fc62,http://www.wikidata.org/entity/Q392502,Agence nationale de la sécurité des systèmes d'information
534fff50a3a7292c64a77cbb,http://www.wikidata.org/entity/Q392516,Agence nationale de sécurité du médicament et des produits de santé
534fff50a3a7292c64a77cc0,http://www.wikidata.org/entity/Q392520,"Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail"
551d00efc751df60500cd89f,http://www.wikidata.org/entity/Q2826678,Agence nationale des fréquences
53a8b66ca3a72905b7ce594e,http://www.wikidata.org/entity/Q2826682,Agence nationale pour l'amélioration des conditions de travail
534fff50a3a7292c64a77cc5,http://www.wikidata.org/entity/Q2826684,Agence nationale pour l'information sur le logement
534fff51a3a7292c64a77cc7,http://www.wikidata.org/entity/Q2826686,Agence nationale pour la cohésion sociale et l'égalité des chances
56bca517c751df265b9f9deb,http://www.wikidata.org/entity/Q295662,Agence nationale pour la gestion des déchets radioactifs
534fff51a3a7292c64a77cca,http://www.wikidata.org/entity/Q2374836,Agence nationale pour la rénovation urbaine
agence-nationale-pour-la-renovation-urbaine,http://www.wikidata.org/entity/Q2374836,Agence nationale pour la rénovation urbaine
534fff51a3a7292c64a77ccc,http://www.wikidata.org/entity/Q2070805,Agence pour l'enseignement français à l'étranger
5b20e610c751df0b90147be9,http://www.wikidata.org/entity/Q2826692,Agence pour l'informatique financière de l'État
agence-pour-linformatique-financiere-de-letat,http://www.wikidata.org/entity/Q2826692,Agence pour l'informatique financière de l'État
5805fde588ee38529a5ff490,http://www.wikidata.org/entity/Q65047838,Agence régionale de développement des territoires d'Auvergne
5bf42e7c634f4175e87dad1b,http://www.wikidata.org/entity/Q56236354,Agence régionale de santé d'Ile-de-France
5b0fac0d88ee38268fd01496,http://www.wikidata.org/entity/Q28952479,Agence régionale pour la biodiversité en Aquitaine
534fff52a3a7292c64a77cd2,http://www.wikidata.org/entity/Q18745065,Agence technique de l'information sur l'hospitalisation
564c87b288ee384585e72046,http://www.wikidata.org/entity/Q2826551,Agence Éducation et Formation
5bdc50dc634f412dd9a4e7a3,http://www.wikidata.org/entity/Q2986890,Agglo du Pays de Dreux
5b8e77c08b4c4145000a595e,http://www.wikidata.org/entity/Q28495616,Agglo du Saint-Quentinois
5bfd11e4634f4170344a961b,http://www.wikidata.org/entity/Q2826818,Agglomération montargoise et rives du Loing
5cb9dfcf8b4c410c13ebe024,http://www.wikidata.org/entity/Q21028681,Aiguillon Construction
departement-de-lain,http://www.wikidata.org/entity/Q3083,Ain
5d1e23d06f4441281f8103a6,http://www.wikidata.org/entity/Q407237,Air France-KLM
534fff53a3a7292c64a77cd7,http://www.wikidata.org/entity/Q64482125,Air Pays de la Loire
534fff53a3a7292c64a77cd9,http://www.wikidata.org/entity/Q56647697,Airaq
5b9a1371634f417f35dc4a7c,http://www.wikidata.org/entity/Q408608,Aire-sur-l'Adour
5a4381adc751df74bae4627d,http://www.wikidata.org/entity/Q2828740,Airparif
534fffb7a3a7292c64a78142,http://www.wikidata.org/entity/Q47465,Aix-en-Provence
5ab9e75188ee387964e77c2b,http://www.wikidata.org/entity/Q181955,Aix-les-Bains
5666d147c751df0341c664bd,http://www.wikidata.org/entity/Q294213,Akka Technologies
5bf41904634f4150d1a38fdd,http://www.wikidata.org/entity/Q233909,Alfortville
5a1d2901c751df5e50300f1c,http://www.wikidata.org/entity/Q62980,Allaire
region-alsace,http://www.wikidata.org/entity/Q1142,Alsace
5cb714df634f414b8650afa3,http://www.wikidata.org/entity/Q2840428,Alternéo
5c589ada8b4c41402c6b6533,http://www.wikidata.org/entity/Q1419026,Andrésy
5c49b5498b4c4139d1714d76,http://www.wikidata.org/entity/Q240921,Anduze
538346d6a3a72906c7ec5c36,http://www.wikidata.org/entity/Q1120190,Angers Loire Métropole
5b17dbeb88ee3869a59ebdca,http://www.wikidata.org/entity/Q191765,Anglet
5ca4bacb634f4118ab6dea0f,http://www.wikidata.org/entity/Q2851472,Annemasse-Les Voirons Agglomération
566594f388ee38738640355c,http://www.wikidata.org/entity/Q126898,Antibes
5b646606634f413b59936c0f,http://www.wikidata.org/entity/Q205592,Antony
5a72f98b88ee38261fdde8af,http://www.wikidata.org/entity/Q57402840,Apsys
534fff54a3a7292c64a77cdc,http://www.wikidata.org/entity/Q30284726,Aquitaine Europe Communication
5420b96ba3a7297b491991d9,http://www.wikidata.org/entity/Q30284726,Aquitaine Europe Communication
5c2c8d65634f412fef24efdc,http://www.wikidata.org/entity/Q207622,Argentan
534fff55a3a7292c64a77cde,http://www.wikidata.org/entity/Q1119844,Arles-Crau-Camargue-Montagnette
5a61b7a7c751df3fd36ac81a,http://www.wikidata.org/entity/Q191415,Asnières-sur-Seine
5b3101ae88ee3837d4d0059b,http://www.wikidata.org/entity/Q19543847,Assemblée de Martinique
55819607c751df7bdda453b9,http://www.wikidata.org/entity/Q193582,Assemblée nationale
5b1a43a7c751df3302ce52c0,http://www.wikidata.org/entity/Q2867205,Assistance publique – Hôpitaux de Paris
534fff4da3a7292c64a77c9d,http://www.wikidata.org/entity/Q15613940,Association française de science économique
566ebe14c751df694bc664bc,http://www.wikidata.org/entity/Q2867785,Association française pour le nommage Internet en coopération
5b30fa4dc751df5ddd4020b6,http://www.wikidata.org/entity/Q2867952,Association pour l'emploi des cadres
apec-association-pour-lemploi-des-cadres,http://www.wikidata.org/entity/Q2867952,Association pour l'emploi des cadres
59a538b688ee386b121578b9,http://www.wikidata.org/entity/Q64929579,Atmo Auvergne-Rhône-Alpes
5b9fb3678b4c416ff2277bb5,http://www.wikidata.org/entity/Q64869158,AtmoSud
534fff57a3a7292c64a77ce4,http://www.wikidata.org/entity/Q1885901,Atout France
departement-de-laube,http://www.wikidata.org/entity/Q3194,Aube
5c336f08634f4122309bdb33,http://www.wikidata.org/entity/Q323152,Auchel
5c0a515c8b4c414a18d54e86,http://www.wikidata.org/entity/Q634738,Aussonne
534fff57a3a7292c64a77cf3,http://www.wikidata.org/entity/Q2872781,Autorité de contrôle prudentiel et de résolution
